	k	p	c	o	f	g	s
UNCLASSIFIED	UNCLASSIFIED	NA	NA	NA	NA	NA	NA
k__Bacteria	k__Bacteria	NA	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidota	k__Bacteria	p__Bacteroidota	NA	NA	NA	NA	NA
k__Bacteria|p__Bacteroidota|c__CFGB45935	k__Bacteria	p__Bacteroidota	c__CFGB45935	NA	NA	NA	NA
k__Bacteria|p__Bacteroidota|c__CFGB45935|o__OFGB45935	k__Bacteria	p__Bacteroidota	c__CFGB45935	o__OFGB45935	NA	NA	NA
k__Bacteria|p__Bacteroidota|c__CFGB45935|o__OFGB45935|f__FGB45935	k__Bacteria	p__Bacteroidota	c__CFGB45935	o__OFGB45935	f__FGB45935	NA	NA
k__Bacteria|p__Bacteroidota|c__CFGB45935|o__OFGB45935|f__FGB45935|g__GGB56609	k__Bacteria	p__Bacteroidota	c__CFGB45935	o__OFGB45935	f__FGB45935	g__GGB56609	NA
k__Bacteria|p__Bacteroidota|c__CFGB45935|o__OFGB45935|f__FGB45935|g__GGB56609|s__GGB56609_SGB78025	k__Bacteria	p__Bacteroidota	c__CFGB45935	o__OFGB45935	f__FGB45935	g__GGB56609	s__GGB56609_SGB78025
k__Bacteria|p__Bacteroidota|c__CFGB45935|o__OFGB45935|f__FGB45935|g__GGB56609|s__GGB56609_SGB78025|t__SGB78025	k__Bacteria	p__Bacteroidota	c__CFGB45935	o__OFGB45935	f__FGB45935	g__GGB56609	s__GGB56609_SGB78025
k__Bacteria|p__Proteobacteria	k__Bacteria	p__Proteobacteria	NA	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	NA	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	NA
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_subterraneus	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio_subterraneus
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_subterraneus|t__SGB85556	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio_subterraneus
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	NA	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	NA	NA	NA
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	NA	NA
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Phycocomes	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Phycocomes	NA
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Phycocomes|s__Phycocomes_zhengii	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Phycocomes	s__Phycocomes_zhengii
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Phycocomes|s__Phycocomes_zhengii|t__SGB31485	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Phycocomes	s__Phycocomes_zhengii
